product_id,product_name,category,about_product,rating,discounted_price,img_link,category_clean,about_product_clean,product_name_clean,combined_features,rating_normalized
B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables","Flexible, lightweight HDMI cable for connecting media devices to playback display such as HDTVs, projectors, and more|Compatible with Blu-Ray players, computers, Apple TV, Roku, cable, PS4, Xbox One, and other HDMI-compatible devices|Solid copper conductors and full metal jacket shielding for durability and high-performance connectivity|Supports Ethernet, 3D, 4K video and Audio Return Channel (ARC) and meets the latest HDMI standards|Supports bandwidth up to 18Gbps and is backwards compatible with earlier versions|Includes a 3 foot cable",4.4,219,https://m.media-amazon.com/images/I/41nPYaWA+ML._SY300_SX300_.jpg,"HomeTheater,TV&Video",flexible lightweight hdmi cable for connecting media devices to playback display such as hdtvs projectors and more compatible with blu ray players computers apple tv roku cable ps4 xbox one and other hdmi compatible devices solid copper conductors and full metal jacket shielding for durability and high performance connectivity supports ethernet 3d 4k video and audio return channel arc and meets the latest hdmi standards supports bandwidth up to 18gbps and is backwards compatible with earlier versions includes a 3 foot cable,amazonbasics flexible premium hdmi cable black 4k 60hz 18gbps 3 foot,"amazonbasics flexible premium hdmi cable black 4k 60hz 18gbps 3 foot hometheater,tv&video flexible lightweight hdmi cable for connecting media devices to playback display such as hdtvs projectors and more compatible with blu ray players computers apple tv roku cable ps4 xbox one and other hdmi compatible devices solid copper conductors and full metal jacket shielding for durability and high performance connectivity supports ethernet 3d 4k video and audio return channel arc and meets the latest hdmi standards supports bandwidth up to 18gbps and is backwards compatible with earlier versions includes a 3 foot cable",0.8421052631578949
B0B6F7LX4C,MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","Note : The brands, Mi and Xiaomi, are part of the same multinational conglomerate|Resolution : HD Ready (1366 x 768) Resolution | Refresh Rate : 60 Hertz | 178 Degree wide viewing angle|Connectivity: Dual Band Wi-Fi | 2 HDMI ports to connect latest gaming consoles, set top box, Blu-ray Players | 2 USB ports to connect hard drives and other USB devices | ALLM | ARC | Bluetooth 5.0 | Ethernet|Sound: 20 Watts Output | Dolby Audio, DTS Virtual: X, DTS-HD|Smart TV Features : Android TV 11 | PatchWall | IMDb Integration | Universal Search | 300+ Free Live Channels | Kids Mode with Parental lock | Smart Recommendations | Language Universe – 15+ Languages | User Centre | Okay Google | Chromecast suporting Apps : Netflix, Prime Video, Disney+ Hotstar | 5000+ apps from Play Store |Quad core Cortex A35 | Chromecast built-in | Ok Google | Auto Low Latency Mode | 1GB RAM + 8GB Storage|Display: HD Ready | Vivid Picture Engine|Warranty Information: 1 year comprehensive warranty on product and 1 year additional on Panel provided by the brand from the date of purchase",4.2,13999,https://m.media-amazon.com/images/I/51fmHk3km+L._SX300_SY300_.jpg,"HomeTheater,TV&Video",note the brands mi and xiaomi are part of the same multinational conglomerate resolution hd ready 1366 x 768 resolution refresh rate 60 hertz 178 degree wide viewing angle connectivity dual band wi fi 2 hdmi ports to connect latest gaming consoles set top box blu ray players 2 usb ports to connect hard drives and other usb devices allm arc bluetooth 5 0 ethernet sound 20 watts output dolby audio dts virtual x dts hd smart tv features android tv 11 patchwall imdb integration universal search 300 free live channels kids mode with parental lock smart recommendations language universe 15 languages user centre okay google chromecast suporting apps netflix prime video disney hotstar 5000 apps from play store quad core cortex a35 chromecast built in ok google auto low latency mode 1gb ram 8gb storage display hd ready vivid picture engine warranty information 1 year comprehensive warranty on product and 1 year additional on panel provided by the brand from the date of purchase,mi 80 cm 32 inches 5a series hd ready smart android led tv l32m7 5ain black,"mi 80 cm 32 inches 5a series hd ready smart android led tv l32m7 5ain black hometheater,tv&video note the brands mi and xiaomi are part of the same multinational conglomerate resolution hd ready 1366 x 768 resolution refresh rate 60 hertz 178 degree wide viewing angle connectivity dual band wi fi 2 hdmi ports to connect latest gaming consoles set top box blu ray players 2 usb ports to connect hard drives and other usb devices allm arc bluetooth 5 0 ethernet sound 20 watts output dolby audio dts virtual x dts hd smart tv features android tv 11 patchwall imdb integration universal search 300 free live channels kids mode with parental lock smart recommendations language universe 15 languages user centre okay google chromecast suporting apps netflix prime video disney hotstar 5000 apps from play store quad core cortex a35 chromecast built in ok google auto low latency mode 1gb ram 8gb storage display hd ready vivid picture engine warranty information 1 year comprehensive warranty on product and 1 year additional on panel provided by the brand from the date of purchase",0.7368421052631577
B08DPLCM6T,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","Resolution: HD Ready (1366x768) | Refresh Rate: 50 hertz|Connectivity: 2 HDMI ports to connect set top box, Blu Ray players, gaming console | 1 USB ports to connect hard drives and other USB devices|Sound output: 10 Watts Output I 2 Speakers | DTS Virtual:X | Sound Type : Down Firing|Smart TV Features: Web OS Smart TV | Wi-Fi | Home Dashboard | Screen Mirroring | Mini TV Browser | Multi-Tasking | Office 365, Set WXHXD (with Stand ) mm - 739 x 472 x 168|Display: Active HDR | Display Type: Flat | BackLight Module: Slim LED|Warranty Information: 1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on panel/module from the date of purchase|Installation : For requesting installation/wall mounting/demo of this product once delivered, please directly call LG support (Please visit LG Website for Toll Free Numebrs) and provide product's model name as well as seller's details mentioned on the invoice",4.3,13490,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/51v-2Nzr+ML._SY300_SX300_.jpg,"HomeTheater,TV&Video",resolution hd ready 1366x768 refresh rate 50 hertz connectivity 2 hdmi ports to connect set top box blu ray players gaming console 1 usb ports to connect hard drives and other usb devices sound output 10 watts output i 2 speakers dts virtual x sound type down firing smart tv features web os smart tv wi fi home dashboard screen mirroring mini tv browser multi tasking office 365 set wxhxd with stand mm 739 x 472 x 168 display active hdr display type flat backlight module slim led warranty information 1 year lg india comprehensive warranty and additional 1 year warranty is applicable on panel module from the date of purchase installation for requesting installation wall mounting demo of this product once delivered please directly call lg support please visit lg website for toll free numebrs and provide product s model name as well as seller s details mentioned on the invoice,lg 80 cm 32 inches hd ready smart led tv 32lm563bptc dark iron gray,"lg 80 cm 32 inches hd ready smart led tv 32lm563bptc dark iron gray hometheater,tv&video resolution hd ready 1366x768 refresh rate 50 hertz connectivity 2 hdmi ports to connect set top box blu ray players gaming console 1 usb ports to connect hard drives and other usb devices sound output 10 watts output i 2 speakers dts virtual x sound type down firing smart tv features web os smart tv wi fi home dashboard screen mirroring mini tv browser multi tasking office 365 set wxhxd with stand mm 739 x 472 x 168 display active hdr display type flat backlight module slim led warranty information 1 year lg india comprehensive warranty and additional 1 year warranty is applicable on panel module from the date of purchase installation for requesting installation wall mounting demo of this product once delivered please directly call lg support please visit lg website for toll free numebrs and provide product s model name as well as seller s details mentioned on the invoice",0.7894736842105263
B085194JFL,"tizum HDMI to VGA Adapter Cable 1080P for Projector, Computer, Laptop, TV, Projectors & TV","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables","Superior Stability: Built-in advanced Certified AG6200 IC chip converts HDMI digital signal to VGA analog signal. It is NOT a bi-directional converter and cannot transmit signals from VGA to HDMI.|Compact Design: Tizum HDMI to VGA adapter is compact & lightweight which makes it easy to carry, travel friendly and also saves space on your desk helping it keep clutter free.|High Definition Image Quality: The HDMI male to VGA female converter supports resolution up to 1920x1080 60Hz (1080p Full HD) including 720p, 1600x1200, 1280x1024 for high definition monitors & projectors.|Wide Compatibility: The adapter is compatible with Computer, PC, Desktop, Laptop, Notebook, Chromebook, PS3, Xbox, Set Top Box, TV & other devices with HDMI port. Note: Does not Support Audio.|Incredible Performance: It resists corrosion & abrasion; improves signal transmission; & protects HDMI port of your device to ensure a longer lifespan",3.7,279,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31MIyzg8uzL._SX300_SY300_QL70_FMwebp_.jpg,"HomeTheater,TV&Video",superior stability built in advanced certified ag6200 ic chip converts hdmi digital signal to vga analog signal it is not a bi directional converter and cannot transmit signals from vga to hdmi compact design tizum hdmi to vga adapter is compact lightweight which makes it easy to carry travel friendly and also saves space on your desk helping it keep clutter free high definition image quality the hdmi male to vga female converter supports resolution up to 1920x1080 60hz 1080p full hd including 720p 1600x1200 1280x1024 for high definition monitors projectors wide compatibility the adapter is compatible with computer pc desktop laptop notebook chromebook ps3 xbox set top box tv other devices with hdmi port note does not support audio incredible performance it resists corrosion abrasion improves signal transmission protects hdmi port of your device to ensure a longer lifespan,tizum hdmi to vga adapter cable 1080p for projector computer laptop tv projectors tv,"tizum hdmi to vga adapter cable 1080p for projector computer laptop tv projectors tv hometheater,tv&video superior stability built in advanced certified ag6200 ic chip converts hdmi digital signal to vga analog signal it is not a bi directional converter and cannot transmit signals from vga to hdmi compact design tizum hdmi to vga adapter is compact lightweight which makes it easy to carry travel friendly and also saves space on your desk helping it keep clutter free high definition image quality the hdmi male to vga female converter supports resolution up to 1920x1080 60hz 1080p full hd including 720p 1600x1200 1280x1024 for high definition monitors projectors wide compatibility the adapter is compatible with computer pc desktop laptop notebook chromebook ps3 xbox set top box tv other devices with hdmi port note does not support audio incredible performance it resists corrosion abrasion improves signal transmission protects hdmi port of your device to ensure a longer lifespan",0.47368421052631593
B09F6S8BT6,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","Resolution: HD Ready (1366x768) | Refresh Rate: 60 hertz|Connectivity: 2 HDMI ports to connect set top box, Blu Ray players, gaming console | 1 USB ports to connect hard drives and other USB devices|Sound : 20 Watts Output | Dolby Digital Plus|Smart TV Features : Personal Computer | Screen Share | Music System | Content Guide | Connect Share Movie|Display : LED Panel | Mega Contrast | PurColor | HD Picture Quality | Slim & Stylish Design|Warranty Information: 1 year comprehensive warranty plus additional 1 years on panel by brand from date of invoice|Installation: TV Table stand is not included in the box with this model. customer may ask for Table Top Stand or Wall Mount which will be provided to the customer at the time of installation, please directly call Samsung support on [1800407267864 / 180057267864] and provide product's model name as well as seller's details mentioned on the invoice|Easy Returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description",4.3,13490,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51q3+E64azL._SX300_SY300_.jpg,"HomeTheater,TV&Video",resolution hd ready 1366x768 refresh rate 60 hertz connectivity 2 hdmi ports to connect set top box blu ray players gaming console 1 usb ports to connect hard drives and other usb devices sound 20 watts output dolby digital plus smart tv features personal computer screen share music system content guide connect share movie display led panel mega contrast purcolor hd picture quality slim stylish design warranty information 1 year comprehensive warranty plus additional 1 years on panel by brand from date of invoice installation tv table stand is not included in the box with this model customer may ask for table top stand or wall mount which will be provided to the customer at the time of installation please directly call samsung support on 1800407267864 180057267864 and provide product s model name as well as seller s details mentioned on the invoice easy returns this product is eligible for replacement within 10 days of delivery in case of any product defects damage or features not matching the description,samsung 80 cm 32 inches wondertainment series hd ready led smart tv ua32t4340bkxxl glossy black,"samsung 80 cm 32 inches wondertainment series hd ready led smart tv ua32t4340bkxxl glossy black hometheater,tv&video resolution hd ready 1366x768 refresh rate 60 hertz connectivity 2 hdmi ports to connect set top box blu ray players gaming console 1 usb ports to connect hard drives and other usb devices sound 20 watts output dolby digital plus smart tv features personal computer screen share music system content guide connect share movie display led panel mega contrast purcolor hd picture quality slim stylish design warranty information 1 year comprehensive warranty plus additional 1 years on panel by brand from date of invoice installation tv table stand is not included in the box with this model customer may ask for table top stand or wall mount which will be provided to the customer at the time of installation please directly call samsung support on 1800407267864 180057267864 and provide product s model name as well as seller s details mentioned on the invoice easy returns this product is eligible for replacement within 10 days of delivery in case of any product defects damage or features not matching the description",0.7894736842105263
B0B1YVCJ2Y,Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","Resolution : HD Ready (1366x768) | Refresh Rate : 60 Hertz | 178 Degree wide viewing angle|Connectivity: Dual band Wifi | 2 way Bluetooth | HDMI ports 2.0 x 2 (HDMI 1 supports ARC) to connect personal computer, laptop, set top box, Blu-ray speakers or a gaming console | USB ports 2.0 x 2 to connect hard drives or other USB device|Sound: 24 Watts Output | High Fidelity Speakers with Dolby Audio | 5 Sound Modes - Movie, Music, Standard, News, Sports|Smart Tv Features: Google certified Android TV 11 | Google Assistant | Chromecast built-in | Voice controlled Smart Remote | Hotkeys for Quick Access - Netflix, Prime Video, YouTube, Disney+Hotstar | 5 Picture Mode | 1.5GB RAM | 8GB Storage | 64bit Quad Core Processor|Display : 16.7 Million Colours | Wide Colour Gamut | Intelligent Frame Stabilization Engine | HDR10+ | Super Brightness | Micro Dimming | Blue Light Reduction|Warranty Information: 1 year comprehensive warranty provided by the manufacturer from date of purchase|Installation: Installation/Wall mounting/demo will be arranged by AHS Team. For any other information, please contact Amazon customer support | Wall Mount is not included in the box and will be charged at the time of installation|Easy Returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description",4.3,11499,https://m.media-amazon.com/images/I/41gikeSuhAL._SY300_SX300_QL70_FMwebp_.jpg,"HomeTheater,TV&Video",resolution hd ready 1366x768 refresh rate 60 hertz 178 degree wide viewing angle connectivity dual band wifi 2 way bluetooth hdmi ports 2 0 x 2 hdmi 1 supports arc to connect personal computer laptop set top box blu ray speakers or a gaming console usb ports 2 0 x 2 to connect hard drives or other usb device sound 24 watts output high fidelity speakers with dolby audio 5 sound modes movie music standard news sports smart tv features google certified android tv 11 google assistant chromecast built in voice controlled smart remote hotkeys for quick access netflix prime video youtube disney hotstar 5 picture mode 1 5gb ram 8gb storage 64bit quad core processor display 16 7 million colours wide colour gamut intelligent frame stabilization engine hdr10 super brightness micro dimming blue light reduction warranty information 1 year comprehensive warranty provided by the manufacturer from date of purchase installation installation wall mounting demo will be arranged by ahs team for any other information please contact amazon customer support wall mount is not included in the box and will be charged at the time of installation easy returns this product is eligible for replacement within 10 days of delivery in case of any product defects damage or features not matching the description,acer 80 cm 32 inches i series hd ready android smart led tv ar32ar2841hdfl black,"acer 80 cm 32 inches i series hd ready android smart led tv ar32ar2841hdfl black hometheater,tv&video resolution hd ready 1366x768 refresh rate 60 hertz 178 degree wide viewing angle connectivity dual band wifi 2 way bluetooth hdmi ports 2 0 x 2 hdmi 1 supports arc to connect personal computer laptop set top box blu ray speakers or a gaming console usb ports 2 0 x 2 to connect hard drives or other usb device sound 24 watts output high fidelity speakers with dolby audio 5 sound modes movie music standard news sports smart tv features google certified android tv 11 google assistant chromecast built in voice controlled smart remote hotkeys for quick access netflix prime video youtube disney hotstar 5 picture mode 1 5gb ram 8gb storage 64bit quad core processor display 16 7 million colours wide colour gamut intelligent frame stabilization engine hdr10 super brightness micro dimming blue light reduction warranty information 1 year comprehensive warranty provided by the manufacturer from date of purchase installation installation wall mounting demo will be arranged by ahs team for any other information please contact amazon customer support wall mount is not included in the box and will be charged at the time of installation easy returns this product is eligible for replacement within 10 days of delivery in case of any product defects damage or features not matching the description",0.7894736842105263
B01M4GGIVU,Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Devices Laptop Computer Gaming Console TV Set Top Box (1.5 Meter/ 5 Feet),"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables","Latest Standard HDMI A Male to A Male Cable: Supports Ethernet, 3D, 4K video and Audio Return Channel (ARC)|Connects Blu-ray players, Fire TV, Apple TV, PS4, PS3, Xbox One, Xbox 360, Computers, DVD Players, Set Top Box, Dish TV Box, and other HDMI-enabLED devices to TVs, displays, A/V receivers and more.Suitable For Mp3, Gaming Device, Mobile, Tablet, Laptop|Cable allows you to share an Internet connection among multiple devices without the need for a separate Ethernet cable|Meets HDMI 1.4 Standards (4K Video at 24 Hz, 2160p, 48 bit/px color depth) that supports bandwidth up to 10.2Gbps and backwards compatible with earlier versions|✔ Gold Plate HDMI Cable of Length: 5 Feet/ 1.8 Meters",4.2,199,https://m.media-amazon.com/images/I/41da4tk7N+L._SY300_SX300_.jpg,"HomeTheater,TV&Video",latest standard hdmi a male to a male cable supports ethernet 3d 4k video and audio return channel arc connects blu ray players fire tv apple tv ps4 ps3 xbox one xbox 360 computers dvd players set top box dish tv box and other hdmi enabled devices to tvs displays a v receivers and more suitable for mp3 gaming device mobile tablet laptop cable allows you to share an internet connection among multiple devices without the need for a separate ethernet cable meets hdmi 1 4 standards 4k video at 24 hz 2160p 48 bit px color depth that supports bandwidth up to 10 2gbps and backwards compatible with earlier versions gold plate hdmi cable of length 5 feet 1 8 meters,tizum high speed hdmi cable with ethernet supports 3d 4k for all hdmi devices laptop computer gaming console tv set top box 1 5 meter 5 feet,"tizum high speed hdmi cable with ethernet supports 3d 4k for all hdmi devices laptop computer gaming console tv set top box 1 5 meter 5 feet hometheater,tv&video latest standard hdmi a male to a male cable supports ethernet 3d 4k video and audio return channel arc connects blu ray players fire tv apple tv ps4 ps3 xbox one xbox 360 computers dvd players set top box dish tv box and other hdmi enabled devices to tvs displays a v receivers and more suitable for mp3 gaming device mobile tablet laptop cable allows you to share an internet connection among multiple devices without the need for a separate ethernet cable meets hdmi 1 4 standards 4k video at 24 hz 2160p 48 bit px color depth that supports bandwidth up to 10 2gbps and backwards compatible with earlier versions gold plate hdmi cable of length 5 feet 1 8 meters",0.7368421052631577
B08B42LWKN,OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","Resolution: HD Ready (1366x768) | Refresh Rate: 60 hertz|Connectivity: 2 HDMI ports to connect set top box, Blu Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices, Dimensions(TV With Stand) - 71.3cm*20cm*46.9cm, VESA Hole Pitch - 20cm*20cm|Sound : 20 Watts Output | Dolby Audio|Smart TV Features: Android TV 9.0 | OnePlus Connect | Google Assistant | Play Store | Chromecast | Shared Album | Supported Apps : Netflix, YouTube, Prime video | Content Calendar | OxygenPlay|Display : LED Panel | Noise Reduction | Colour Space Mapping |Dynamic Contrast | Anti-Aliasing | DCI-P3 93% colour gamut | Gamma Engine|Warranty Information: 1 year comprehensive warranty and additional 1 year on panel provided by the manufacturer from date of purchase|Installation/Wall mounting/demo will be arranged by Amazon Home Services. For any other information, please contact Amazon customer support | Wall Mount is not included in the box and will be charged extra at the time of installation|Easy returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description provided",4.2,14999,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41WE9ZGEC4L._SX300_SY300_QL70_FMwebp_.jpg,"HomeTheater,TV&Video",resolution hd ready 1366x768 refresh rate 60 hertz connectivity 2 hdmi ports to connect set top box blu ray players gaming console 2 usb ports to connect hard drives and other usb devices dimensions tv with stand 71 3cm 20cm 46 9cm vesa hole pitch 20cm 20cm sound 20 watts output dolby audio smart tv features android tv 9 0 oneplus connect google assistant play store chromecast shared album supported apps netflix youtube prime video content calendar oxygenplay display led panel noise reduction colour space mapping dynamic contrast anti aliasing dci p3 93 colour gamut gamma engine warranty information 1 year comprehensive warranty and additional 1 year on panel provided by the manufacturer from date of purchase installation wall mounting demo will be arranged by amazon home services for any other information please contact amazon customer support wall mount is not included in the box and will be charged extra at the time of installation easy returns this product is eligible for replacement within 10 days of delivery in case of any product defects damage or features not matching the description provided,oneplus 80 cm 32 inches y series hd ready led smart android tv 32y1 black,"oneplus 80 cm 32 inches y series hd ready led smart android tv 32y1 black hometheater,tv&video resolution hd ready 1366x768 refresh rate 60 hertz connectivity 2 hdmi ports to connect set top box blu ray players gaming console 2 usb ports to connect hard drives and other usb devices dimensions tv with stand 71 3cm 20cm 46 9cm vesa hole pitch 20cm 20cm sound 20 watts output dolby audio smart tv features android tv 9 0 oneplus connect google assistant play store chromecast shared album supported apps netflix youtube prime video content calendar oxygenplay display led panel noise reduction colour space mapping dynamic contrast anti aliasing dci p3 93 colour gamut gamma engine warranty information 1 year comprehensive warranty and additional 1 year on panel provided by the manufacturer from date of purchase installation wall mounting demo will be arranged by amazon home services for any other information please contact amazon customer support wall mount is not included in the box and will be charged extra at the time of installation easy returns this product is eligible for replacement within 10 days of delivery in case of any product defects damage or features not matching the description provided",0.7368421052631577
B0B3MMYHYW,OnePlus 126 cm (50 inches) Y Series 4K Ultra HD Smart Android LED TV 50Y1S Pro (Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","Resolution: 4K Ultra HD (3840x2160) | Bezel-less Design|Connectivity: Dual-band Wi-Fi | 3HDMI ports to connect set top box, Blu Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices|Sound : 24 Watts Output | Dolby Audio | Dolby Atmos Decoding|Smart TV features: Android TV | OnePlus Connect Ecosystem| Google Assistant | Chromecast, Miracast, DLNA | Auto Low Latency Mode | Supported Apps : Netflix, Youtube, Prime Video, Hotstar, SonyLiv, Hungama, JioCinema, Zee5, Eros Now, Oxygen Play|Display: 1 billion colors | Gamma Engine with MEMC | Decoding of HDR10+, HDR10, HLG|Warranty Information: 1 year comprehensive warranty and additional 1 year on panel provided by the manufacturer from date of purchase|Installation/Wall mounting/demo will be arranged by Amazon Home Services. For any other information, please contact Amazon customer support | Wall Mount is not included in the box and will be charged extra at the time of installation",4.2,32999,https://m.media-amazon.com/images/I/51hQfTroMzL._SX300_SY300_QL70_FMwebp_.jpg,"HomeTheater,TV&Video",resolution 4k ultra hd 3840x2160 bezel less design connectivity dual band wi fi 3hdmi ports to connect set top box blu ray players gaming console 2 usb ports to connect hard drives and other usb devices sound 24 watts output dolby audio dolby atmos decoding smart tv features android tv oneplus connect ecosystem google assistant chromecast miracast dlna auto low latency mode supported apps netflix youtube prime video hotstar sonyliv hungama jiocinema zee5 eros now oxygen play display 1 billion colors gamma engine with memc decoding of hdr10 hdr10 hlg warranty information 1 year comprehensive warranty and additional 1 year on panel provided by the manufacturer from date of purchase installation wall mounting demo will be arranged by amazon home services for any other information please contact amazon customer support wall mount is not included in the box and will be charged extra at the time of installation,oneplus 126 cm 50 inches y series 4k ultra hd smart android led tv 50y1s pro black,"oneplus 126 cm 50 inches y series 4k ultra hd smart android led tv 50y1s pro black hometheater,tv&video resolution 4k ultra hd 3840x2160 bezel less design connectivity dual band wi fi 3hdmi ports to connect set top box blu ray players gaming console 2 usb ports to connect hard drives and other usb devices sound 24 watts output dolby audio dolby atmos decoding smart tv features android tv oneplus connect ecosystem google assistant chromecast miracast dlna auto low latency mode supported apps netflix youtube prime video hotstar sonyliv hungama jiocinema zee5 eros now oxygen play display 1 billion colors gamma engine with memc decoding of hdr10 hdr10 hlg warranty information 1 year comprehensive warranty and additional 1 year on panel provided by the manufacturer from date of purchase installation wall mounting demo will be arranged by amazon home services for any other information please contact amazon customer support wall mount is not included in the box and will be charged extra at the time of installation",0.7368421052631577
B09JPC82QC,Mi 108 cm (43 inches) Full HD Android LED TV 4C | L43M6-INC (Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","Resolution : Full HD (1920x1080) | Refresh Rate : 60 Hertz | 178 Degree wide viewing angle|Connectivity: 3 HDMI ports to connect set top box, Blu-Ray players, gaming console | 3 USB ports to connect hard drives and other USB devices | 3.5mm to connect your headphones | S/PDIF port to connect Speakers|Sound: 20 Watts Powerful Stereo Speakers | DTS-HD|Smart TV Features : Android TV 9 | Chromecast built-in | PatchWall 4 with IMDb integration | 75+ Free Live Channels | Universal search | Language Universe (16+ Languages) | Miracast | Supported Apps: Prime Video | Netflix, Disney + Hotstar, YouTube, Apple TV, 5000+ apps from Play Store | Quad core processor | Built-in Wi-Fi | 1GB RAM + 8GB Storage|Display: LED Panel | Vivid Picture engine | Detailed Picture Controls | Ultra bright screen | Dynamic contrast | Dynamic backlight|Warranty Information: 1 year comprehensive warranty on product and 1 year additional on Panel provided by the brand from the date of purchase|Installation/Wall mounting/demo will be arranged by AHS Team or Xiaomi service partner. For more information, please call Mi support on Toll Free Number (Please visit brand website for toll free numebrs) | Wall Mount is not included in the box and will be charged extra at the time of installation",4.3,19999,https://m.media-amazon.com/images/I/41nsy8kxWUL._SY300_SX300_QL70_FMwebp_.jpg,"HomeTheater,TV&Video",resolution full hd 1920x1080 refresh rate 60 hertz 178 degree wide viewing angle connectivity 3 hdmi ports to connect set top box blu ray players gaming console 3 usb ports to connect hard drives and other usb devices 3 5mm to connect your headphones s pdif port to connect speakers sound 20 watts powerful stereo speakers dts hd smart tv features android tv 9 chromecast built in patchwall 4 with imdb integration 75 free live channels universal search language universe 16 languages miracast supported apps prime video netflix disney hotstar youtube apple tv 5000 apps from play store quad core processor built in wi fi 1gb ram 8gb storage display led panel vivid picture engine detailed picture controls ultra bright screen dynamic contrast dynamic backlight warranty information 1 year comprehensive warranty on product and 1 year additional on panel provided by the brand from the date of purchase installation wall mounting demo will be arranged by ahs team or xiaomi service partner for more information please call mi support on toll free number please visit brand website for toll free numebrs wall mount is not included in the box and will be charged extra at the time of installation,mi 108 cm 43 inches full hd android led tv 4c l43m6 inc black,"mi 108 cm 43 inches full hd android led tv 4c l43m6 inc black hometheater,tv&video resolution full hd 1920x1080 refresh rate 60 hertz 178 degree wide viewing angle connectivity 3 hdmi ports to connect set top box blu ray players gaming console 3 usb ports to connect hard drives and other usb devices 3 5mm to connect your headphones s pdif port to connect speakers sound 20 watts powerful stereo speakers dts hd smart tv features android tv 9 chromecast built in patchwall 4 with imdb integration 75 free live channels universal search language universe 16 languages miracast supported apps prime video netflix disney hotstar youtube apple tv 5000 apps from play store quad core processor built in wi fi 1gb ram 8gb storage display led panel vivid picture engine detailed picture controls ultra bright screen dynamic contrast dynamic backlight warranty information 1 year comprehensive warranty on product and 1 year additional on panel provided by the brand from the date of purchase installation wall mounting demo will be arranged by ahs team or xiaomi service partner for more information please call mi support on toll free number please visit brand website for toll free numebrs wall mount is not included in the box and will be charged extra at the time of installation",0.7894736842105263
